,職稱,姓名,所代表法人,持有股份數(股),主要公司,公司
0,董事長,曾文港,大同股份有限公司,1850745168.0,中華映管股份有限公司,中華映管股份有限公司
1,董事,王嘉鴻,中華電子投資股份有限公司,577821932.0,中華映管股份有限公司,中華映管股份有限公司
2,董事,曾明德,中華電子投資股份有限公司,577821932.0,中華映管股份有限公司,中華映管股份有限公司
3,董事,董廣業,大同股份有限公司,1850745168.0,中華映管股份有限公司,中華映管股份有限公司
4,監察人,林長權,志生不動產股份有限公司,141871033.0,中華映管股份有限公司,中華映管股份有限公司
5,代表人,張益華,志生不動產股份有限公司,0.0,,中華映管股份有限公司
6,董事長,張益華,尚志資產開發股份有限公司,57804691.0,志生不動產股份有限公司,中華映管股份有限公司
7,董事,林郭文艷,尚志資產開發股份有限公司,57804691.0,志生不動產股份有限公司,中華映管股份有限公司
8,董事,鍾國華,尚志資產開發股份有限公司,57804691.0,志生不動產股份有限公司,中華映管股份有限公司
9,董事,陳淑麗,尚志資產開發股份有限公司,57804691.0,志生不動產股份有限公司,中華映管股份有限公司
10,董事,張瑜恬,尚志資產開發股份有限公司,57804691.0,志生不動產股份有限公司,中華映管股份有限公司
11,監察人,楊政杰,尚志資產開發股份有限公司,57804691.0,志生不動產股份有限公司,中華映管股份有限公司
12,代表人,王光祥,尚志資產開發股份有限公司,0.0,,中華映管股份有限公司
13,董事長,王光祥,大同股份有限公司,5220064.0,尚志資產開發股份有限公司,中華映管股份有限公司
14,董事,林郭文艶,大同股份有限公司,5220064.0,尚志資產開發股份有限公司,中華映管股份有限公司
15,董事,張益華,大同股份有限公司,5220064.0,尚志資產開發股份有限公司,中華映管股份有限公司
16,董事,盧明光,大同股份有限公司,5220064.0,尚志資產開發股份有限公司,中華映管股份有限公司
17,監察人,于俊明,大同股份有限公司,5220064.0,尚志資產開發股份有限公司,中華映管股份有限公司
18,代表人,張瑞凱,中華電子投資股份有限公司,0.0,中華電子投資股份有限公司,中華映管股份有限公司
19,代表人,葉啟昭,大同股份有限公司,0.0,大同股份有限公司,中華映管股份有限公司
20,董事長,謝秀娟,庭楊股份有限公司,5718551.0,川飛能源股份有限公司,川飛能源股份有限公司
21,董事,江彥雄,庭楊股份有限公司,5718551.0,川飛能源股份有限公司,川飛能源股份有限公司
22,董事,陳世凱,庭楊股份有限公司,5718551.0,川飛能源股份有限公司,川飛能源股份有限公司
23,董事,胡立三,山雋股份有限公司,1954328.0,川飛能源股份有限公司,川飛能源股份有限公司
24,董事,陳艷容,山雋股份有限公司,1954328.0,川飛能源股份有限公司,川飛能源股份有限公司
25,獨立董事,方鳳騏,,0.0,川飛能源股份有限公司,川飛能源股份有限公司
26,獨立董事,吳東霖,,0.0,川飛能源股份有限公司,川飛能源股份有限公司
27,監察人,李華豪,悠仁投資股份有限公司,510600.0,川飛能源股份有限公司,川飛能源股份有限公司
28,代表人,李華豪,悠仁投資股份有限公司,0.0,,川飛能源股份有限公司
29,董事長,李華豪,,30000.0,悠仁投資股份有限公司,川飛能源股份有限公司
30,監察人,謝立言,,20000.0,悠仁投資股份有限公司,川飛能源股份有限公司
31,代表人,謝秀娟,庭楊股份有限公司,0.0,,川飛能源股份有限公司
32,董事長,謝秀娟,廷陽股份有限公司,101000.0,庭楊股份有限公司,川飛能源股份有限公司
33,代表人,謝秀娟,廷陽股份有限公司,0.0,廷陽股份有限公司,川飛能源股份有限公司
34,代表人,謝秀娟,山雋股份有限公司,0.0,山雋股份有限公司,川飛能源股份有限公司
35,董事長,趙畊遠,恩享有限公司,31286.0,齊民股份有限公司,齊民股份有限公司
36,董事,許洪猷,恩享有限公司,31286.0,齊民股份有限公司,齊民股份有限公司
37,董事,陳忠,恩享有限公司,31286.0,齊民股份有限公司,齊民股份有限公司
38,監察人,陳珊珊,班特扎克投資有限公司,12255.0,齊民股份有限公司,齊民股份有限公司
39,監察人,龔君彥,,0.0,齊民股份有限公司,齊民股份有限公司
40,代表人,陳珊珊,班特扎克投資有限公司,0.0,,齊民股份有限公司
41,代表人,陳忠,恩享有限公司,0.0,,齊民股份有限公司
42,監察人,解任,力長企業股份有限公司,0.0,嘉新食品化纖股份有限公司,嘉新食品化纖股份有限公司
43,監察人,解任,長森興業股份有限公司,0.0,嘉新食品化纖股份有限公司,嘉新食品化纖股份有限公司
44,代表人,,長森興業股份有限公司,0.0,,嘉新食品化纖股份有限公司
45,監察人,譚伯郊,日安企業股份有限公司,365000,長森興業股份有限公司,嘉新食品化纖股份有限公司
